CONSOLIDATED_ID,REPRESENTATIVE_STOP,STOPS_IN_CLUSTER,NUM_STOPS,LAT,LONG
C153,ADMIRALTY CENTRE,8051;734;130;8050;13071;122;401;10000285;518;468;233;10000286;467,13,22.27895081615384,114.16471477692309
C154,CAUSEWAY BAY (TIN HAU) BUS TERMINUS/<br>Tin Hau Station,297;1334,2,22.283118955,114.19130824999999
C155,"PAK TAI STREET/<br>Pak Tai Street, Mok Cheong Street",13143,1,22.3229576,114.1901428
C156,THE HK SOC. FOR THE BLIND,4164;10000174,2,22.32146724,114.19356884999999
C157,CHI KIANG STREET PLAYGROUND,9030;4179;806;4123;9031;1384;10000159;10000101,8,22.31418230875,114.1876221
C158,"BAILEY STREET HUNG HOM/<br>Bailey Street, Ma Tau Wai Road",4169;12371;9029,3,22.31154313,114.18741119999999
C159,"FAT KWONG STREET HUNG HOM/<br>Fat Kwong Street, Ma Tau Wai Road",1394;1395;9028;4170;4177;4261,6,22.308730096666665,114.18740616666668
C160,"WALKER ROAD/<br>Walker Road, Wuhu Street",9022,1,22.30802135,114.1846288
C161,"NGAN MOK STREET/<br>Ngan Mok Street, King's Road",3178;3066;3067,3,22.283737430000002,114.19264256666668
C162,"7 SEAS SHOPPING CENTRE/<br>7 Seas Shopping Centre, King's Road",139,1,22.28758446,114.192905
C163,"CITY GARDEN/<br>City Garden, Electric Road",140;223;61,3,22.29024826666667,114.19503043333333
C164,"MARY COURT/<br>Mary Court, King's Road",141;60,2,22.290663335,114.19783495
C165,"ISLAND PLACE/<br>Island Place, King's Road",143;58,2,22.29147544,114.2024057
C166,"CHEUK WAH HOUSE HING WAH ESTATE/<br>Cheuk Wah House Hing Wah Estate, Wan Tsui Road",3246;7,2,22.26167499,114.2348728
C167,"CHAK TSUI HOUSE WAN TSUI ESTATE/<br>Chak Tsui House Wan Tsui Estate, Wan Tsui Road",40;6,2,22.26259545,114.23672145
C168,"WAN TSUI SHOPPING CENTRE/<br>Wan Tsui Shopping Centre, Chai Wan Road",1549;5,2,22.26321779,114.23879790000001
C169,"LOK HIN TERRACE/<br>Lok Hin Terrace, Chai Wan Road",43;4,2,22.265022815000002,114.2416318
C170,Chai Wan (East),1551;917;1557,3,22.26650524,114.24553766666668
C171,"HARMONY GARDEN/<br>Harmony Garden, Siu Sai Wan Road",12983,1,22.26462269,114.2482436
C172,"CHEERFUL GARDEN/<br>Cheerful Garden, Fu Yee Road",1568;7125;914,3,22.26319796333333,114.25024476666665
C173,ISLAND RESORT BUS TERMINUS/<br>Siu Sai Wan (Island Resort),1546,1,22.2661025,114.250961
C174,"FUNG HING HOUSE HING WAH ESTATE/<br>Fung Hing House Hing Wah Estate, Wan Tsui Road",8;1560;12559,3,22.26286124666667,114.23423293333333
C175,"Bayview Park, Hong Man Street",9;155;99;1553;3255,5,22.264859374000004,114.23439094
C176,"EASTERN HOSPITAL/<br>Eastern Hospital, Chai Wan Road",10;36,2,22.26824979,114.23351715
C177,"Shan Tsui Court, Tai Tam Road",11;74;97,3,22.269447940000003,114.23327506666668
C178,"NAM ON LANE/<br>Nam On Lane, Shau Kei Wan Road",3268;100;551;568;3089,5,22.277654767999998,114.22657746
C179,"VICTORIA PARK GLOUCESTER ROAD/<br>Victoria Park, Gloucester Road",746,1,22.2800082,114.1874509
C180,"A KUNG NGAM ROAD/<br>A Kung Ngam Road, Chai Wan Road",33;13,2,22.27461719,114.2311716
C181,"LEI YUE MUN PARK/<br>Lei Yue Mun Park, Chai Wan Road",3002;12,2,22.27287383,114.2324954
C182,"TAI TAM ROAD/<br>Tai Tam Road, Chai Wan Road",35,1,22.27153704,114.2332371
C183,"KOWAY COURT/<br>Koway Court, Chai Wan Road",3253,1,22.26684093,114.23373
C184,"CHEUNG HONG STREET/<br>Cheung Hong Street, King's Road",228,1,22.29018493,114.1960688
C185,"FORTRESS HILL STATION/<br>Fortress Hill Station, King's Road",62,1,22.28819846,114.1936522
C186,"TSING FUNG STREET/<br>Tsing Fung Street, King's Road",63;661,2,22.285092034999998,114.19256995
C187,BULKELEY STREET,4260;12366;12370;7014,4,22.307077590000002,114.18583945
C188,"CHI KIANG STREET/<br>Chi Kiang Street, To Kwa Wan Road",4180,1,22.31595897,114.1891715
C189,"CHINA GAS COMPANY/<br>China Gas Company, Ma Tau Kok Road",9034,1,22.32071781,114.1925011
C190,"JUBILANT PLACE/<br>Jubilant Place, Ma Tau Kok Road",4183,1,22.32206364,114.1893565
C191,KOWLOON CITY BBI - SUNG WONG TOI PARK,4185;7055;7029;4119;10000117;10000116;10000118,7,22.326310567142855,114.1897146142857
C192,KAI TAK (TAK LONG ESTATE),8336;12889;13104;13351,4,22.330080825000003,114.20507235
C193,SKYLINE TOWER,13133;12381;12383,3,22.326555810000002,114.205489
C194,TAK LONG ESTATE CARPARK,10000223;10000222,2,22.32794072,114.2042566
C195,KAI TAK (KAI CHING ESTATE),13105;13106,2,22.33208575,114.20427194999999
C196,LOK SHAN ROAD TO KWA WAN,4122;4137,2,22.317151125,114.18760900000001
C197,PAK KUNG STREET HUNG HOM,807;4136;4124,3,22.311982693333334,114.1862466
C198,PING CHI STREET HUNG HOM,808;4258;4135;4262,4,22.309938115,114.184303775
C199,NORTH POINT GOVT PRIMARY SCHOOL (CLOUD VIEW RD),283;3174,2,22.28307795,114.1949713
C200,"Cheung Chuk Shan College, Cloud View Road",53;295;51,3,22.28521810333333,114.19592253333333
C201,FLORA GARDEN,54;293;294,3,22.286924753333334,114.1970678
C202,"Summit Court, Tin Hau Temple Road",55;292;12906;3082,4,22.2875340725,114.19896497500001
C203,BRAEMAR HILL MANSIONS (HKSYU),289;291,2,22.285199575,114.1995565
C204,BRAEMAR HILL BUS TERMINUS,57,1,22.28354706,114.1988528
C205,YEE KING ROAD,282;300,2,22.28113651,114.1936223
C206,LAI KIT LAU LAI TAK TSUEN,301;3262;1513,3,22.27856877666667,114.19383543333333
C207,ILLUMINATION TERRACE,3124;280,2,22.276914655,114.19391775
C208,FONTANA GARDENS,279;304,2,22.27800315,114.1907401
C209,FARM ROAD,817;4121;9069;12919,4,22.31995062,114.187368975
C210,THE LATITUDE,4072;4081,2,22.33300797,114.1967056
C211,KING TAI STREET,822;4082,2,22.33392886,114.1985112
C212,TRADE AND INDUSTRY TOWER,13205;13332,2,22.33212289,114.1974092
C213,KOWLOON EAST REGIONAL POLICE HEADQUARTERS,10000228;10000229;12355;10000048,4,22.334745665,114.2017389
C214,BLOCK 8 RICHLAND GARDENS,825,1,22.33137203,114.2060142
C215,HO MAN TIN BUS TERMINUS,12751;4269;13308,3,22.317934079999997,114.18099290000002
C216,"SOUTH PACIFIC HOTEL/<br>South Pacific Hotel, Morrison Hill Road",8055;813;8058;8057;316;365;8056;486,8,22.27630368875,114.18041715
C217,"ST. JOSEPH'S COLLEGE PRIMARY SCHOOL/<br>St. Joseph's Primary School, Queen's Road East",419;429,2,22.27500106,114.1765687
C218,"WU CHUNG HOUSE/<br>Wu Chung House, Queen's Road East",420,1,22.27453593,114.1726148
C219,"LUN FAT STREET/<br>Lun Fat Street, Queen's Road East",1475;426,2,22.27610718,114.170189
C220,"THREE PACIFIC PLACE/<br>Three Pacific Place, Queen's Road East",422;425,2,22.27761518,114.167899
C221,"Alexandra House, Des Voeux Road Central",778;128;21;388;12473;258;647;129;22;589;257;8003;675;1424;1512,15,22.28120386533333,114.15937600000001
C222,"CENTRAL MARKET/<br>Central Market, Des Voeux Road Central",8001;8004;24;127;27;23;163;8002;8010;3273;886;8007;981;8008;8006;1441;588;1195;621;26;3030;320;506;379;12469;12570;1581;124;1061;10000173,30,22.285353507000004,114.15496001666665
C223,"MACAU FERRY/<br>Macau Ferry, Connaught Road Central",125;13120;1499;3024;10000060,5,22.287993114,114.15054210000001
C224,"YAN FUNG STREET/<br>Yan Fung Street, Fat Kwong Street",9058,1,22.31110987,114.1834546
C225,"HO MAN TIN STATION/<br>Ho Man Tin Station, Chung Hau Street",4263,1,22.30907806,114.181397
C226,"CARMEL SECONDARY SCHOOL/<br>Carmel Secondary School, Chung Hau Street",4264;4256,2,22.30989084,114.18027119999999
C227,HO MAN TIN (OI MAN ESTATE) BUS TERMINUS/<br>Oi Man Estate,4265;4255,2,22.312360740000003,114.17810695
C228,"CHUN MAN COURT/<br>Chun Man Court, Chung Hau Street",12565;4254,2,22.31457324,114.1778886
C229,"CASCADES/<br>Cascades, Chung Hau Street",10320,1,22.31552594,114.1798637
C230,"HOMANTIN PLAZA/<br>Homantin Plaza, Sheung Foo Street",4252;4268,2,22.31655539,114.1814846
C231,DIAMOND HILL STATION BUS TERMINUS,1146,1,22.34078263,114.2015507
C232,"TAI TUNG HOUSE/<br>Tai Tung House Tung Tau Estate, Choi Hung Road",4118;4186,2,22.33583933,114.1943811
C233,"LUNG WAI HOUSE/<br>Lung Wai House Lower Wong Tai Sin Estate, Tung Tau Tsuen Road",7060,1,22.34003404,114.1942409
C234,KAI YIP BUS TERMINUS,10000052,1,22.32867141,114.2085567
C235,BLOCK 13 RICHLAND GARDENS,798,1,22.33082101,114.2068391
C236,LEE THEATRE PLAZA,836,1,22.27879832,114.1832493
C237,BONAVENTURE HOUSE,238,1,22.27757913,114.184433
C238,Irving Street,3216;10233,2,22.278757535,114.18622335
C239,ST. PAUL'S HOSPITAL,12584,1,22.27892448,114.1880815
C240,"HONG KONG CENTRAL LIBRARY/<br>Hong Kong Central Library, Causeway Road",3033;64;1400,3,22.279902753333335,114.18877049999999
C241,CANAL ROAD EAST,469,1,22.27838297,114.181299
C242,"CARMEL VILLAGE STREET/<br>Carmel Village Street, Chung Hau Street",4253,1,22.31443322,114.1806401
C243,CHUNG HAU STREET/<br>Chung Hau Street,4257,1,22.31118216,114.1822609
C244,"AMOY STREET/<br>Amoy Street, Queen's Road East",427,1,22.27517707,114.1716833
C245,"THE ZENITH/<br>The Zenith, Queen's Road East",617,1,22.2744908,114.173915
C246,SHEUNG HEUNG ROAD TO KWA WAN,10000023,1,22.31843346,114.1876673
C247,CHI WO STREET JORDAN,7082;1321,2,22.30583156,114.17261869999999
C248,"PARKES STREET JORDAN/<br>Parkes Street, Jordan Road",1331;4272;1320,3,22.305255026666668,114.17012936666667
C249,BATTERY STREET JORDAN,1164;9002;4248,3,22.305583066666667,114.16862183333332
C250,"WESTERN HARBOUR TUNNEL BBI, NGA CHEUNG ROAD",13172;10000065;921,3,22.304480686666665,114.16013980000001
C251,KOWLOON STATION BUS TERMINUS,4246,1,22.30489635,114.1628701
C252,WYLIE ROAD,1322,1,22.3067121,114.1761174
C253,"TUNG SHING COURT/<br>Tung Shing Court, Yiu Hing Road",552;567,2,22.275860514999998,114.22613630000001
C254,"YIU HING HOUSE/<br>Yiu Hing House Yiu Tung Estate, Yiu Hing Road",10000125;12392,2,22.2760371,114.2245111
C255,YIU TUNG ESTATE/<br>Yiu Tung Estate,553;3085,2,22.277550095,114.2232454
C256,"YIU WAH HOUSE/<br>Yiu Wah House Yiu Tung Estate, Yiu Hing Road",554;565,2,22.27896422,114.2202378
C257,AUSTIN STATION,10269;724,2,22.30390333,114.16782455
C258,AUSTIN ROAD,12911;9003;9000;967,4,22.30230493,114.1681109
C259,EAST TSIM SHA TSUI STATION,1279;1286,2,22.29517096,114.1744386
C260,TSIM SHA TSUI EAST (MODY ROAD)/<br>Tsim Sha Tsui (Mody Road),12746,1,22.29655266,114.1757778
C261,GRANVILLE ROAD,4132;1281,2,22.30004751,114.175933
C262,"ELECTRIC ROAD MARKET/<br>Electric Road Market, Electric Road",222,1,22.28943566,114.1936427
C263,"NORTH POINT ROAD/<br>North Point Road, Java Road",672,1,22.29180127,114.1972335
C264,"KAM HONG STREET/<br>Kam Hong Street, Java Road",1305,1,22.29251419,114.2008823
C265,North Point Ferry Pier,1306;904;179,3,22.293022686666664,114.20236716666666
C266,"LOTUS MANSION TAIKOO SHING/<br>Lotus Mansion Taikoo Shing, Taikoo Wan Road",912,1,22.28740811,114.2193283
C267,"TAI WOO MANSION TAIKOO SHING/<br>Tai Woo Mansion Taikoo Shing, Taikoo Shing Road",10230,1,22.28468056,114.2204531
C268,PRATAS STREET,4113;4099;4197;4207;9250;9252;9251,7,22.336557262857145,114.15932242857146
C269,"BEGONIA HOUSE, SO UK ESTATE/<br>Begonia House So Uk Estate, Cheung Fat Street",4114,1,22.34018736,114.1576246
